,Amount of Calcium (Ca),Amount of Magnesium (Mg),Amount of Sodium (Na),Amount of Potassium (K),Total Amount (N+K) (mg/L),Ca Weight (%) (meq/L),Mg Weight (%) (meq/L),Na Weight (%) (meq/L),K Weight (%) (meq/L),Total Amount (Na+K %) (meq/L),Total Weight Amount (Ca + Mg+ Na+K %) (meq/L),Ca Relative Conc (meq%),Mg Relative Conc (meq%),Na+K Relative Conc (meq%),Amount of Chloride (Cl),Amount of Sulfate (SO4),Amount of Carbonate (CO3),Amount of Hydrogencarbonate (HCO3),Cl Weight (%) (meq/L),SO4 Weight (%) (meq/L),CO3 Weight (%) (meq/L),HCO3 Weight (%) (meq/L),Total Amount (CO3+HCO3 %) (meq/L),Total Weight Amount (Cl + SO4+ CO3+HCO3 %) (meq/L),Cl Relative Conc (meq%),SO4 Relative Conc (meq%),CO3 + HCO3 Relative Conc (meq%),ROWID,District LGD Code,Amount of Total Dissolved Solids (TDS),"Amount of Potential of Hydrogen (H+, pH)",Country,State LGD Code,State,District,Year,Surface Water Station,Surface Water Station Latitude,Surface Water Station Longitude,Month
4358,28.16,32.56,20.71,1.36,22.07,1.4052597435001746,2.6792840979222383,0.9008264462809918,0.03478438794823265,0.9356108342292245,5.0201546756516375,27.992359484775555,53.37054873860944,18.637091776614994,4.0,13.39,0.0,341.0,0.11283497884344146,0.278795702506871,0.0,5.588698046414056,5.588698046414056,5.980328727764368,1.8867688379669165,4.6618792243397875,93.4513519376933,31187,418,341.0,8.04,India,23,Madhya Pradesh,Narsinghpur,2018,Belkhedi,22.92777778,79.33972222,2022-03-18
4359,59.36,42.04,12.45,2.4,14.85,2.9622236638554815,3.4593704998971404,0.5415397999130057,0.061384214026292905,0.6029240139392986,7.02451817769192,42.16977718504237,49.24708588388624,8.583136931071396,86.0,24.3,0.0,358.0,2.4259520451339913,0.5059548596651954,0.0,5.867313491543202,5.867313491543202,8.799220396342388,27.570079346374797,5.749996441451881,66.67992421217333,31188,418,535.0,7.66,India,23,Madhya Pradesh,Narsinghpur,2018,Gadarwara,22.92388889,78.79166667,2022-03-18
4373,24.72,8.26,4.74,1.18,5.92,1.233594490743051,0.6796955358979634,0.20617659852109615,0.030180571896260677,0.23635717041735682,2.1496471970583713,57.38590464663835,31.618934345509114,10.995161007852527,7.0,9.5,0.0,112.0,0.19746121297602254,0.19780128258515867,0.0,1.8355841090861413,1.8355841090861413,2.2308466046473225,8.851402537703368,8.86664650868854,82.28195095360809,31216,418,140.0,7.79,India,23,Madhya Pradesh,Narsinghpur,2018,Barmanghat,23.03111111,79.01555556,2022-05-18
4374,35.92,27.7,19.58,1.28,20.86,1.7925046159988023,2.2793663855173834,0.8516746411483254,0.03273824748068955,0.8844128886290149,4.956283890145201,36.16630232910828,45.989423447868845,17.84427422302286,9.0,1.34,0.0,316.0,0.2538787023977433,0.027900391438327645,0.0,5.178969450635899,5.178969450635899,5.4607485444719694,4.6491557032918145,0.5109261342306596,94.83991816247753,31217,418,317.0,7.93,India,23,Madhya Pradesh,Narsinghpur,2018,Belkhedi,22.92777778,79.33972222,2022-05-18
4375,24.72,8.26,4.74,1.18,5.92,1.233594490743051,0.6796955358979634,0.20617659852109615,0.030180571896260677,0.23635717041735682,2.1496471970583713,57.38590464663835,31.618934345509114,10.995161007852527,7.0,9.5,0.0,112.0,0.19746121297602254,0.19780128258515867,0.0,1.8355841090861413,1.8355841090861413,2.2308466046473225,8.851402537703368,8.86664650868854,82.28195095360809,31218,418,140.0,7.79,India,23,Madhya Pradesh,Narsinghpur,2018,Gadarwara,22.92388889,78.79166667,2022-05-18
4390,33.36,11.18,8.71,1.77,10.48,1.664753730226059,0.9199753137214565,0.3788603740756851,0.04527085784439102,0.4241312319200761,3.0088602758675917,55.328382762673634,30.57554121406271,14.096076023263649,9.0,8.76,0.0,166.0,0.2538787023977433,0.18239360373115682,0.0,2.7205978759669596,2.7205978759669596,3.15687018209586,8.0421014407755,5.777671972879952,86.18022658634455,31243,418,200.0,7.57,India,23,Madhya Pradesh,Narsinghpur,2018,Barmanghat,23.03111111,79.01555556,2022-11-18
4391,45.68,26.73,15.38,0.88,16.26,2.2795548680073856,2.1995474182267025,0.6689865158764681,0.022507545142974067,0.6914940610194421,5.170596347253531,44.08688504988827,42.539530655782826,13.373584294328902,9.0,10.25,0.0,304.0,0.2538787023977433,0.21341717331556592,0.0,4.982299724662384,4.982299724662384,5.449595600375693,4.658670496215187,3.916202026088927,91.4251274776959,31244,418,318.0,7.49,India,23,Madhya Pradesh,Narsinghpur,2018,Belkhedi,22.92777778,79.33972222,2022-11-18
4392,37.12,14.34,9.86,1.18,11.04,1.8523878437047754,1.1800041143797573,0.42888212266202697,0.030180571896260677,0.45906269455828763,3.4914546526428203,53.05490198197561,33.7969193867824,13.148178631241992,7.0,7.17,0.0,211.0,0.19746121297602254,0.14928791538269343,0.0,3.4581093483676413,3.4581093483676413,3.8048584767263574,5.189712421207193,3.9236128306968854,90.88667474809593,31245,418,254.0,7.63,India,23,Madhya Pradesh,Narsinghpur,2018,Gadarwara,22.92388889,78.79166667,2022-11-18
4408,29.44,9.72,5.53,1.4,6.93,1.4691351863865463,0.79983542480971,0.24053936494127884,0.03580745818200419,0.276346823123283,2.5453174343195393,57.71913422575925,31.423798620368807,10.857067153871952,8.0,9.72,0.0,141.0,0.22566995768688292,0.20238194386607813,0.0,2.310869280188803,2.310869280188803,2.7389211817417642,8.23937392544361,7.38911164056854,84.37151443398784,31270,418,158.0,7.82,India,23,Madhya Pradesh,Narsinghpur,2018,Barmanghat,23.03111111,79.01555556,2022-10-18
4409,38.56,16.28,8.24,1.4,9.64,1.9242477169519436,1.3396420489611192,0.3584167029143106,0.03580745818200419,0.3942241610963148,3.6581139270093774,52.60218121541874,36.621113384960054,10.776705399621202,3.0,10.36,0.0,213.0,0.0846262341325811,0.21570750395602564,0.0,3.490887636029894,3.490887636029894,3.791221374118501,2.232162825159678,5.689657307499748,92.07817986734057,31271,418,221.0,7.79,India,23,Madhya Pradesh,Narsinghpur,2018,Belkhedi,22.92777778,79.33972222,2022-10-18
