ROWID,Country,State LGD Code,State,District LGD Code,District,Year,Ground Water Station Name,Ground Water Station Latitude,Ground Water Station Longitude,Amount of Arsenic,Amount of carbonate,Amount of Calcium,Amount of Chloride,Amount of Electrical Conductivity,Amount of Fluorine,Amount of Iron,Amount of Hydrogencarbonate,Amount of Potassium,Amount of Magnesium,Amount of Nitrate,Amount of Sodium,Percentage of Sodium,Amount of Phosphate Ion,Amount of Residual Sodium Carbonate,Amount of Sodium absorption ratio,Amount of Sulfate,Amount of Silicon dioxide,Amount of Hardness Total,Amount of Alkalinity Total,Amount of Total Dissolved Solids,Amount of Potential of Hydrogen,Mark for Deletion
139676,India,28,Andhra Pradesh,511,Kurnool,2015,Banaganapalli-DW14,15.31666667,78.225,,0,108,277,1748,0.81,0.8,311,2,51.19,30,180,,,-9,3.57,193,,480,254.92,,7.2,No
139677,India,28,Andhra Pradesh,511,Kurnool,2015,Bapuram,15.75305556,77.2625,,,,,,,,,,,,,,,,,,,,,,,No
139678,India,28,Andhra Pradesh,511,Kurnool,2015,Battulur,15.24583333,78.5,,0,200,369,2492,1.13,0.05,476,140,0.24,100,260,,,-4.4,5.06,240,,500,390.16,,7.15,No
139679,India,28,Andhra Pradesh,511,Kurnool,2015,Chagalmarri,14.96666667,78.6,,,,,,,,,,,,,,,,,,,,,,,No
139680,India,28,Andhra Pradesh,511,Kurnool,2015,Doddanakere-DW14,15.71666667,77.275,,0,136,170,1515,0.9,0.04,397,4.7,68.24,143,60,,,-11.78,1.05,64,,620,325.41,,8.04,No
139681,India,28,Andhra Pradesh,511,Kurnool,2015,Emmiganuru1,15.775,77.475,,,,,,,,,,,,,,,,,,,,,,,No
139682,India,28,Andhra Pradesh,511,Kurnool,2015,Gadivemula-DW13,15.66722222,78.44083333,,0,80,149,1022,0.53,0.51,220,0.8,21.98,2.5,100,,,-4.38,2.55,110,,290,180.33,,7.38,No
139683,India,28,Andhra Pradesh,511,Kurnool,2015,Gargeyapuram-DW14,15.8,78.14166667,,,,,,,,,,,,,,,,,,,,,,,No
139684,India,28,Andhra Pradesh,511,Kurnool,2015,Garladinne1,15.30833333,77.975,,,,,,,,,,,,,,,,,,,,,,,No
139685,India,28,Andhra Pradesh,511,Kurnool,2015,Gonegandla,15.71222222,77.59722222,,,,,,,,,,,,,,,,,,,,,,,No
139686,India,28,Andhra Pradesh,511,Kurnool,2015,Gonegondla,15.71666667,77.6,,0,248,567,2822,0.26,0.23,421,45,39.2,216,260,,,-17.4,4.05,84,,780,345.08,,7.37,No
139687,India,28,Andhra Pradesh,511,Kurnool,2015,G Ragadi Gudur-dw14,15.725,78.46666667,,0,144,213,1651,0.53,0.13,439,63,19.63,10,140,,,-3.22,2.9,150,,440,359.84,,7.93,No
139688,India,28,Andhra Pradesh,511,Kurnool,2015,Gudur-PZ -WT,15.7725,77.80888889,,,,,,,,,,,,,,,,,,,,,,,No
139689,India,28,Andhra Pradesh,511,Kurnool,2015,Gulyam,15.37194444,77.065,,,,,,,,,,,,,,,,,,,,,,,No
139690,India,28,Andhra Pradesh,511,Kurnool,2015,Gulyam-DW13,15.36666667,77.14166667,,,,,,,,,,,,,,,,,,,,,,,No
139691,India,28,Andhra Pradesh,511,Kurnool,2015,Gulyam-PZ,15.37194444,77.065,,0,320,1177,8535,1.63,1.55,756,0.8,155.99,1331,1300,,,-32.82,14.9,874,,1440,619.67,,7.49,No
139692,India,28,Andhra Pradesh,511,Kurnool,2015,Halvi pn1-wt,15.88055556,77.14333333,,,,,,,,,,,,,,,,,,,,,,,No
139693,India,28,Andhra Pradesh,511,Kurnool,2015,Halvi pni-p1,15.88055556,77.14333333,,,,,,,,,,,,,,,,,,,,,,,No
139694,India,28,Andhra Pradesh,511,Kurnool,2015,Haradgiri-Pn-3,0,0,,,,,,,,,,,,,,,,,,,,,,,No
139695,India,28,Andhra Pradesh,511,Kurnool,2015,Holagondi,15.48333333,77.05,,,,,,,,,,,,,,,,,,,,,,,No
139696,India,28,Andhra Pradesh,511,Kurnool,2015,Kapatrala,15.625,77.6,,,,,,,,,,,,,,,,,,,,,,,No
139697,India,28,Andhra Pradesh,511,Kurnool,2015,Karivemula,15.61666667,77.60416667,,0,84,106,1335,0.84,0.58,567,29,14.69,58,166,,,7.78,4.39,4.3,,270,464.75,,7.73,No
139698,India,28,Andhra Pradesh,511,Kurnool,2015,Kodumuru,15.68333333,77.76666667,,,,,,,,,,,,,,,,,,,,,,,No
139699,India,28,Andhra Pradesh,511,Kurnool,2015,Kodumuru1,15.68333333,77.76666667,,,,,,,,,,,,,,,,,,,,,,,No
139700,India,28,Andhra Pradesh,511,Kurnool,2015,Kodumuru 2013DW,15.68333333,77.76666667,,,,,,,,,,,,,,,,,,,,,,,No
139701,India,28,Andhra Pradesh,511,Kurnool,2015,Kolimigundla-DW14,15.09166667,78.10416667,,,,,,,,,,,,,,,,,,,,,,,No
139702,India,28,Andhra Pradesh,511,Kurnool,2015,Kuppagallu,15.75,77.21666667,,,,,,,,,,,,,,,,,,,,,,,No
139703,India,28,Andhra Pradesh,511,Kurnool,2015,Kurnool,15.8375,78.04861111,,,,,,,,,,,,,,,,,,,,,,,No
139704,India,28,Andhra Pradesh,511,Kurnool,2015,Kurnool-DW14,15.83833333,78.04916667,,0,304,482,2371,0.28,0.13,397,17,19.82,10,150,,,-20.58,2.25,162,,840,325.41,,7.34,No
139705,India,28,Andhra Pradesh,511,Kurnool,2015,Madhavaram,15.93694444,77.36305556,,0,512,993,4928,0.13,0.26,506,48,141.64,265,250,,,-57.82,2.52,413,,1860,414.75,,6.4,No
139706,India,28,Andhra Pradesh,511,Kurnool,2015,Mahanandi-DW13,15.46916667,78.62,,0,46,46,770,0.88,0.18,378,9,49.9,,24,,,-0.4,0.58,5.8,,320,309.84,,7.57,No
139707,India,28,Andhra Pradesh,511,Kurnool,2015,Mantralayam-new,15.94027778,77.42777778,,,,,,,,,,,,,,,,,,,,,,,No
139708,India,28,Andhra Pradesh,511,Kurnool,2015,Moravakonda,15.97361111,78.27777778,,0,224,312,2015,0.7,0.04,189,,34.31,211,140,,,-21.8,2.3,226,,700,154.92,,7.52,No
139709,India,28,Andhra Pradesh,511,Kurnool,2015,Naganathanahalli,15.56666667,77.23333333,,0,128,553,5015,2.67,0.11,665,13,102.27,1283,800,,,-7.8,12.79,128,,740,545.08,,7.77,No
139710,India,28,Andhra Pradesh,511,Kurnool,2015,Nandikotkur,15.86666667,78.275,,,,,,,,,,,,,,,,,,,,,,,No
139711,India,28,Andhra Pradesh,511,Kurnool,2015,Nandyal-DW13,15.48972222,78.49472222,,0,80,121,1057,0.61,0.19,317,3.9,36.57,3.1,80,,,-3.6,1.86,85,,350,259.84,,7.42,No
139712,India,28,Andhra Pradesh,511,Kurnool,2015,Nossam,14.99166667,78.4,,0,144,291,1798,0.26,0.08,311,83,29.35,193,140,,,-9,2.78,59,,480,254.92,,6.79,No
139713,India,28,Andhra Pradesh,511,Kurnool,2015,Orvakallu,15.6875,78.175,,,,,,,,,,,,,,,,,,,,,,,No
139714,India,28,Andhra Pradesh,511,Kurnool,2015,Palakuru,0,0,,,,,,,,,,,,,,,,,,,,,,,No
139715,India,28,Andhra Pradesh,511,Kurnool,2015,Pata Sunnipeta-DW14,16.07083333,78.87083333,,,,,,,,,,,,,,,,,,,,,,,No
139716,India,28,Andhra Pradesh,511,Kurnool,2015,Peapally,15.23055556,77.37638889,,,,,,,,,,,,,,,,,,,,,,,No
139717,India,28,Andhra Pradesh,511,Kurnool,2015,Peapally1,15.23055556,77.37638889,,,,,,,,,,,,,,,,,,,,,,,No
139718,India,28,Andhra Pradesh,511,Kurnool,2015,Peddatekuru,15.72916667,78.00416667,,,,,,,,,,,,,,,,,,,,,,,No
139719,India,28,Andhra Pradesh,511,Kurnool,2015,Podalakunta-DW14,15.85416667,77.12083333,,0,520,950,4745,0.8,0.11,482,37,39.53,488,400,,,-42.6,4.55,230,,1460,395.08,,7.09,No
139720,India,28,Andhra Pradesh,511,Kurnool,2015,Puppaladoddi,15.53388889,77.48583333,,,,,,,,,,,,,,,,,,,,,,,No
139721,India,28,Andhra Pradesh,511,Kurnool,2015,Rajala Mandagiri-DW14,15.43694444,77.47361111,,0,68,25,593,0.19,0.49,293,11,21.96,1.2,10,,,-0.8,0.27,15,,260,240.16,,8.21,No
139722,India,28,Andhra Pradesh,511,Kurnool,2015,Ratan-DW13,15.36666667,77.16666667,,0,30,25,637,1.97,0.18,323,0.8,17.06,4.3,79,,,4.78,2.85,12,,145,264.75,,7.64,No
139723,India,28,Andhra Pradesh,511,Kurnool,2015,Rudravaram,15.85,78.47083333,,,,,,,,,,,,,,,,,,,,,,,No
139724,India,28,Andhra Pradesh,511,Kurnool,2015,Rudravaram-DW13,15.85027778,78.47083333,,0,56,170,1333,0.34,0.05,317,4.7,51.13,1.9,140,,,-3.6,3.26,154,,350,259.84,,7.5,No
139725,India,28,Andhra Pradesh,511,Kurnool,2015,Santajutur,15.63333333,78.44166667,,0,136,468,2879,0.83,0.1,769,110,68.24,11,310,,,0.4,5.42,119,,620,630.33,,7.05,No
139726,India,28,Andhra Pradesh,511,Kurnool,2015,Srisailam,16.09166667,78.86388889,,,,,,,,,,,,,,,,,,,,,,,No
139727,India,28,Andhra Pradesh,511,Kurnool,2015,Srisailam-DW14,16.06666667,78.86805556,,0,18,39,277,0.09,0.05,49,3.9,13.39,40,15,,,-2.4,0.65,7.2,,100,40.16,,6.71,No
139728,India,28,Andhra Pradesh,511,Kurnool,2015,Sulavai-DW13,15.45833333,77.1,,0,100,177,1130,2.29,0.24,366,9.8,19.57,3.7,102,,,-1.2,2.44,11,,330,300,,7.57,No
139729,India,28,Andhra Pradesh,511,Kurnool,2015,Tammarajupalli,15.54166667,78.24166667,,,,,,,,,,,,,,,,,,,,,,,No
139730,India,28,Andhra Pradesh,511,Kurnool,2015,Timmapuram,15.40138889,78.30833333,,,,,,,,,,,,,,,,,,,,,,,No
139731,India,28,Andhra Pradesh,511,Kurnool,2015,Tuggali1,15.3175,77.545,,,,,,,,,,,,,,,,,,,,,,,No
139732,India,28,Andhra Pradesh,511,Kurnool,2015,Tungabhadra,15.9375,77.3125,,,,,,,,,,,,,,,,,,,,,,,No
139733,India,28,Andhra Pradesh,511,Kurnool,2015,Tungabhadra 2013DW,15.93722222,77.30833333,,,,,,,,,,,,,,,,,,,,,,,No
139734,India,28,Andhra Pradesh,511,Kurnool,2015,Tungabhadra-PZ,15.9375,77.3125,,0,480,993,4767,0.11,0.38,336,9.8,73.52,329,400,,,-48.98,4.49,420,,1500,275.41,,6.55,No
139735,India,28,Andhra Pradesh,511,Kurnool,2015,Veldurti,15.55,77.93333333,,0,104,326,2788,1.84,0.33,1086,26,82.79,6.2,350,,,11.6,6.22,32,,600,890.16,,7.44,No
139736,India,28,Andhra Pradesh,511,Kurnool,2015,Velugodu,15.72916667,78.56666667,,,,,,,,,,,,,,,,,,,,,,,No
139737,India,28,Andhra Pradesh,511,Kurnool,2015,Venkatapuram2,15.88333333,78.65,,0,80,652,3443,1.2,0.03,799,1.2,77.9,87,550,,,5.4,10.49,69,,520,654.92,,7.74,No
139738,India,28,Andhra Pradesh,511,Kurnool,2015,Yemignur,15.82777778,77.47916667,,,,,,,,,,,,,,,,,,,,,,,No
139739,India,28,Andhra Pradesh,511,Kurnool,2015,Yemignur[r],15.755,77.49472222,,0,50,43,519,0.35,0.06,207,2,15.86,6.8,30,,,-0.82,0.95,20,,190,169.67,,7.45,No
139740,India,28,Andhra Pradesh,511,Kurnool,2015,Yemmiganur-DW14,15.78333333,77.45833333,,,,,,,,,,,,,,,,,,,,,,,No
139741,India,28,Andhra Pradesh,511,Kurnool,2015,Yenugumarri,15.29722222,77.79166667,,0,88,128,1952,2.58,0.57,927,12,46.3,15,250,,,13.98,5.37,12,,410,759.84,,6.63,No
139742,India,28,Andhra Pradesh,511,Kurnool,2016,Adoni Kota Veerabhadraswamigudi-DW14,15.66666667,77.2875,,,,,,,,,,,,,,,,,,,,,,,No
139743,India,28,Andhra Pradesh,511,Kurnool,2016,Ahobilam,15.15305556,78.66666667,,,,,,,,,,,,,,,,,,,,,,,No
139744,India,28,Andhra Pradesh,511,Kurnool,2016,Alamuru-DW13,15.45833333,78.32472222,,,,,,,,,,,,,,,,,,,,,,,No
139745,India,28,Andhra Pradesh,511,Kurnool,2016,Aluru,15.4,77.225,,0,56,780,4640,0.32,,976,2,54,26,920,,,,,404,,360,,2837,7.18,No
139746,India,28,Andhra Pradesh,511,Kurnool,2016,Aluru1,15.40083333,77.22444444,,,,,,,,,,,,,,,,,,,,,,,No
139747,India,28,Andhra Pradesh,511,Kurnool,2016,Aspari1,15.48,77.39083333,,,,,,,,,,,,,,,,,,,,,,,No
139748,India,28,Andhra Pradesh,511,Kurnool,2016,Atmakur (alt),15.89166667,78.59166667,,0,92,213,1430,0.7,,384,3,33,20,159,,,,,79,,365,,834,7.62,No
139749,India,28,Andhra Pradesh,511,Kurnool,2016,Banaganapalli-DW14,15.31666667,78.225,,0,66,308,1700,0.59,,488,5,64,17,189,,,,,1,,430,,949,7.87,No
139750,India,28,Andhra Pradesh,511,Kurnool,2016,Bapuram,15.75305556,77.2625,,,,,,,,,,,,,,,,,,,,,,,No
139751,India,28,Andhra Pradesh,511,Kurnool,2016,Battulur,15.24583333,78.5,,0,104,312,2400,1.19,,464,120,49,78,268,,,,,303,,460,,1517,8,No
139752,India,28,Andhra Pradesh,511,Kurnool,2016,Chagalmarri,14.96666667,78.6,,,,,,,,,,,,,,,,,,,,,,,No
139753,India,28,Andhra Pradesh,511,Kurnool,2016,Doddanakere-DW14,15.71666667,77.275,,0,112,156,1210,0.99,,220,3,49,206,56,,,,,37,,480,,753,8.22,No
139754,India,28,Andhra Pradesh,511,Kurnool,2016,Emmiganuru1,15.775,77.475,,,,,,,,,,,,,,,,,,,,,,,No
139755,India,28,Andhra Pradesh,511,Kurnool,2016,Gadivemula-DW13,15.66722222,78.44083333,,0,86,170,1210,0.56,,250,3,18,7,143,,,,,145,,290,,726,7.97,No
139756,India,28,Andhra Pradesh,511,Kurnool,2016,Gargeyapuram-DW14,15.8,78.14166667,,,,,,,,,,,,,,,,,,,,,,,No
139757,India,28,Andhra Pradesh,511,Kurnool,2016,Garladinne1,15.30833333,77.975,,,,,,,,,,,,,,,,,,,,,,,No
139758,India,28,Andhra Pradesh,511,Kurnool,2016,Gonegandla,15.71222222,77.59722222,,,,,,,,,,,,,,,,,,,,,,,No
139759,India,28,Andhra Pradesh,511,Kurnool,2016,Gonegondla,15.71666667,77.6,,0,144,454,2300,0.36,,439,60,49,35,234,,,,,117,,560,,1360,8.16,No
139760,India,28,Andhra Pradesh,511,Kurnool,2016,G Ragadi Gudur-dw14,15.725,78.46666667,,0,168,397,2450,0.44,,512,120,44,81,217,,,,,169,,600,,1509,7.61,No
139761,India,28,Andhra Pradesh,511,Kurnool,2016,Gudur-PZ -WT,15.7725,77.80888889,,,,,,,,,,,,,,,,,,,,,,,No
139762,India,28,Andhra Pradesh,511,Kurnool,2016,Gulyam,15.37194444,77.065,,240,130,1117,8050,1.82,,61,3,55,623,1597,,,,,1432,,550,,5139,8.3,No
139763,India,28,Andhra Pradesh,511,Kurnool,2016,Gulyam-DW13,15.36666667,77.14166667,,,,,,,,,,,,,,,,,,,,,,,No
139764,India,28,Andhra Pradesh,511,Kurnool,2016,Gulyam-PZ,15.37194444,77.065,,120,230,1897,12370,1.43,,305,3,152,111,2290,,,,,2845,,1200,,7787,8.3,No
139765,India,28,Andhra Pradesh,511,Kurnool,2016,Halvi pn1-wt,15.88055556,77.14333333,,,,,,,,,,,,,,,,,,,,,,,No
139766,India,28,Andhra Pradesh,511,Kurnool,2016,Halvi pni-p1,15.88055556,77.14333333,,,,,,,,,,,,,,,,,,,,,,,No
139767,India,28,Andhra Pradesh,511,Kurnool,2016,Haradgiri-Pn-3,0,0,,,,,,,,,,,,,,,,,,,,,,,No
139768,India,28,Andhra Pradesh,511,Kurnool,2016,Holagondi,15.48333333,77.05,,0,192,404,2250,0.4,,293,23,63,145,163,,,,,189,,740,,1359,7.78,No
139769,India,28,Andhra Pradesh,511,Kurnool,2016,Kapatrala,15.625,77.6,,0,130,585,6340,1.75,,854,3,91,44,1135,,,,,1539,,700,,4050,7.91,No
139770,India,28,Andhra Pradesh,511,Kurnool,2016,Karivemula,15.61666667,77.60416667,,0,44,121,1090,1.15,,433,1,39,6,126,,,,,14,,270,,616,8.05,No
139771,India,28,Andhra Pradesh,511,Kurnool,2016,Kodumuru,15.68333333,77.76666667,,0,176,546,3730,0.59,,537,40,219,376,218,,,,,336,,1340,,2239,7.99,No
139772,India,28,Andhra Pradesh,511,Kurnool,2016,Kodumuru1,15.68333333,77.76666667,,,,,,,,,,,,,,,,,,,,,,,No
139773,India,28,Andhra Pradesh,511,Kurnool,2016,Kodumuru 2013DW,15.68333333,77.76666667,,,,,,,,,,,,,,,,,,,,,,,No
139774,India,28,Andhra Pradesh,511,Kurnool,2016,Kolimigundla-DW14,15.09166667,78.10416667,,,,,,,,,,,,,,,,,,,,,,,No
139775,India,28,Andhra Pradesh,511,Kurnool,2016,Kuppagallu,15.75,77.21666667,,,,,,,,,,,,,,,,,,,,,,,No
139776,India,28,Andhra Pradesh,511,Kurnool,2016,Kurnool,15.8375,78.04861111,,0,456,1773,6840,0.21,,183,19,117,17,815,,,,,723,,1620,,4031,7.58,No
139830,India,28,Andhra Pradesh,511,Kurnool,2017,Garladinne1,15.30833333,77.975,,,,,,,,,,,,,,,,,,,,,,,No
139777,India,28,Andhra Pradesh,511,Kurnool,2016,Kurnool-DW14,15.83833333,78.04916667,,0,86,220,1760,0.91,,421,3,33,5,242,,,,,211,,350,,1057,8.2,No
139778,India,28,Andhra Pradesh,511,Kurnool,2016,Madhavaram,15.93694444,77.36305556,,0,320,744,3970,0.09,,537,50,44,54,432,,,,,431,,980,,2403,7.36,No
139779,India,28,Andhra Pradesh,511,Kurnool,2016,Mahanandi-DW13,15.46916667,78.62,,0,50,25,610,0.97,,323,16,35,1,7,,,,,4,,270,,336,8.06,No
139780,India,28,Andhra Pradesh,511,Kurnool,2016,Mantralayam-new,15.94027778,77.42777778,,,,,,,,,,,,,,,,,,,,,,,No
139781,India,28,Andhra Pradesh,511,Kurnool,2016,Moravakonda,15.97361111,78.27777778,,0,216,326,2210,0.67,,232,1,49,272,167,,,,,221,,740,,1394,7.68,No
139782,India,28,Andhra Pradesh,511,Kurnool,2016,Naganathanahalli,15.56666667,77.23333333,,120,104,539,5150,3.08,,293,10,102,86,864,,,,,1248,,680,,3206,8.37,No
139783,India,28,Andhra Pradesh,511,Kurnool,2016,Nandikotkur,15.86666667,78.275,,,,,,,,,,,,,,,,,,,,,,,No
139784,India,28,Andhra Pradesh,511,Kurnool,2016,Nandyal-DW13,15.48972222,78.49472222,,0,128,234,1660,0.69,,378,8,11,3,207,,,,,180,,365,,1002,8.05,No
139785,India,28,Andhra Pradesh,511,Kurnool,2016,Nossam,14.99166667,78.4,,0,118,248,1690,0.27,,390,110,33,168,125,,,,,39,,430,,1079,7.86,No
139786,India,28,Andhra Pradesh,511,Kurnool,2016,Orvakallu,15.6875,78.175,,,,,,,,,,,,,,,,,,,,,,,No
139787,India,28,Andhra Pradesh,511,Kurnool,2016,Palakuru,0,0,,0,176,156,1440,0.71,,293,4,6,28,114,,,,,227,,465,,890,7.7,No
139788,India,28,Andhra Pradesh,511,Kurnool,2016,Pata Sunnipeta-DW14,16.07083333,78.87083333,,0,120,234,1590,0.3,,275,10,34,136,157,,,,,123,,440,,981,7.93,No
139789,India,28,Andhra Pradesh,511,Kurnool,2016,Peapally,15.23055556,77.37638889,,,,,,,,,,,,,,,,,,,,,,,No
139790,India,28,Andhra Pradesh,511,Kurnool,2016,Peapally1,15.23055556,77.37638889,,,,,,,,,,,,,,,,,,,,,,,No
139791,India,28,Andhra Pradesh,511,Kurnool,2016,Peddatekuru,15.72916667,78.00416667,,,,,,,,,,,,,,,,,,,,,,,No
139792,India,28,Andhra Pradesh,511,Kurnool,2016,Podalakunta-DW14,15.85416667,77.12083333,,,,,,,,,,,,,,,,,,,,,,,No
139793,India,28,Andhra Pradesh,511,Kurnool,2016,Puppaladoddi,15.53388889,77.48583333,,,,,,,,,,,,,,,,,,,,,,,No
139794,India,28,Andhra Pradesh,511,Kurnool,2016,Rajala Mandagiri-DW14,15.43694444,77.47361111,,,,,,,,,,,,,,,,,,,,,,,No
139795,India,28,Andhra Pradesh,511,Kurnool,2016,Ratan-DW13,15.36666667,77.16666667,,0,172,291,1960,0.78,,366,4,61,265,134,,,,,54,,680,,1205,7.65,No
139796,India,28,Andhra Pradesh,511,Kurnool,2016,Rudravaram,15.85,78.47083333,,0,82,163,1320,0.3,,293,10,26,24,155,,,,,160,,310,,799,7.88,No
139797,India,28,Andhra Pradesh,511,Kurnool,2016,Rudravaram-DW13,15.85027778,78.47083333,,,,,,,,,,,,,,,,,,,,,,,No
139798,India,28,Andhra Pradesh,511,Kurnool,2016,Santajutur,15.63333333,78.44166667,,0,104,277,1520,0.92,,293,5,39,13,153,,,,,112,,420,,882,7.23,No
139799,India,28,Andhra Pradesh,511,Kurnool,2016,Srisailam,16.09166667,78.86388889,,0,28,110,830,0.56,,174,5,23,3,112,,,,,108,,165,,495,8.08,No
139800,India,28,Andhra Pradesh,511,Kurnool,2016,Srisailam-DW14,16.06666667,78.86805556,,,,,,,,,,,,,,,,,,,,,,,No
139801,India,28,Andhra Pradesh,511,Kurnool,2016,Sulavai-DW13,15.45833333,77.1,,,,,,,,,,,,,,,,,,,,,,,No
139802,India,28,Andhra Pradesh,511,Kurnool,2016,Tammarajupalli,15.54166667,78.24166667,,,,,,,,,,,,,,,,,,,,,,,No
139803,India,28,Andhra Pradesh,511,Kurnool,2016,Timmapuram,15.40138889,78.30833333,,0,80,922,7063,2.3,,1098,7,134,660,1300,,,,,810,,750,,4584,7.98,No
139804,India,28,Andhra Pradesh,511,Kurnool,2016,Tuggali1,15.3175,77.545,,,,,,,,,,,,,,,,,,,,,,,No
139805,India,28,Andhra Pradesh,511,Kurnool,2016,Tungabhadra,15.9375,77.3125,,0,160,326,2450,0.59,,439,9,29,68,318,,,,,335,,520,,1514,7.9,No
139806,India,28,Andhra Pradesh,511,Kurnool,2016,Tungabhadra 2013DW,15.93722222,77.30833333,,,,,,,,,,,,,,,,,,,,,,,No
139807,India,28,Andhra Pradesh,511,Kurnool,2016,Tungabhadra-PZ,15.9375,77.3125,,,,,,,,,,,,,,,,,,,,,,,No
139808,India,28,Andhra Pradesh,511,Kurnool,2016,Veldurti,15.55,77.93333333,,0,120,262,2680,0.72,,817,100,44,189,336,,,,,142,,480,,1692,8.16,No
139809,India,28,Andhra Pradesh,511,Kurnool,2016,Velugodu,15.72916667,78.56666667,,,,,,,,,,,,,,,,,,,,,,,No
139810,India,28,Andhra Pradesh,511,Kurnool,2016,Venkatapuram2,15.88333333,78.65,,0,52,191,1520,0.92,,567,1,52,30,190,,,,,1,,345,,865,8.07,No
139811,India,28,Andhra Pradesh,511,Kurnool,2016,Yemignur,15.82777778,77.47916667,,0,50,44,580,0.28,,262,2,30,13,17,,,,,2,,250,,319,8.21,No
139812,India,28,Andhra Pradesh,511,Kurnool,2016,Yemignur[r],15.755,77.49472222,,,,,,,,,,,,,,,,,,,,,,,No
139813,India,28,Andhra Pradesh,511,Kurnool,2016,Yemmiganur-DW14,15.78333333,77.45833333,,,,,,,,,,,,,,,,,,,,,,,No
139814,India,28,Andhra Pradesh,511,Kurnool,2016,Yenugumarri,15.29722222,77.79166667,,,,,,,,,,,,,,,,,,,,,,,No
139815,India,28,Andhra Pradesh,511,Kurnool,2017,Adoni Kota Veerabhadraswamigudi-DW14,15.66666667,77.2875,,,96,652,4112,0.42,,1141,700,73.06,24,300,,,15.8,5.62,178,,540,935.25,,7.68,No
139816,India,28,Andhra Pradesh,511,Kurnool,2017,Ahobilam,15.15305556,78.66666667,,,,,,,,,,,,,,,,,,,,,,,No
139817,India,28,Andhra Pradesh,511,Kurnool,2017,Alamuru-DW13,15.45833333,78.32472222,,,,,,,,,,,,,,,,,,,,,,,No
139818,India,28,Andhra Pradesh,511,Kurnool,2017,Aluru,15.4,77.225,,,,,,,,,,,,,,,,,,,,,,,No
139819,India,28,Andhra Pradesh,511,Kurnool,2017,Aluru1,15.40083333,77.22444444,,,240,723,3763,0.44,,616,7.8,63.51,239,450,,,-14.2,6.67,115,,860,504.92,,6.83,No
139820,India,28,Andhra Pradesh,511,Kurnool,2017,Aspari1,15.48,77.39083333,,,150,145,1240,0.64,,336,6.6,12.34,79,90,,,-5.98,1.9,80,,425,275.41,,7.15,No
139821,India,28,Andhra Pradesh,511,Kurnool,2017,Atmakur (alt),15.89166667,78.59166667,,,106,238,1525,0.79,,409,4.7,31.74,2.5,173,,,-2.4,3.79,94,,395,335.25,,7.47,No
139822,India,28,Andhra Pradesh,511,Kurnool,2017,Banaganapalli-DW14,15.31666667,78.225,,,92,234,1960,0.72,,250,4.7,17.13,37,240,,,-3.8,6.03,248,,300,204.92,,7.44,No
139823,India,28,Andhra Pradesh,511,Kurnool,2017,Bapuram,15.75305556,77.2625,,,,,,,,,,,,,,,,,,,,,,,No
139824,India,28,Andhra Pradesh,511,Kurnool,2017,Battulur,15.24583333,78.5,,,92,291,2238,1,,451,140,56.03,66,220,,,-3.62,4.46,264,,460,369.67,,7.7,No
139825,India,28,Andhra Pradesh,511,Kurnool,2017,Chagalmarri,14.96666667,78.6,,,,,,,,,,,,,,,,,,,,,,,No
139826,India,28,Andhra Pradesh,511,Kurnool,2017,Doddanakere-DW14,15.71666667,77.275,,,94,160,1343,0.86,,232,2,64.54,207,74,,,-12.4,1.44,71,,500,190.16,,7.28,No
139827,India,28,Andhra Pradesh,511,Kurnool,2017,Emmiganuru1,15.775,77.475,,,,,,,,,,,,,,,,,,,,,,,No
139828,India,28,Andhra Pradesh,511,Kurnool,2017,Gadivemula-DW13,15.66722222,78.44083333,,,60,131,1083,0.63,,183,3.9,11.01,5,160,,,-1.8,4.98,196,,195,150,,7.52,No
139829,India,28,Andhra Pradesh,511,Kurnool,2017,Gargeyapuram-DW14,15.8,78.14166667,,,,,,,,,,,,,,,,,,,,,,,No
139831,India,28,Andhra Pradesh,511,Kurnool,2017,Gonegandla,15.71222222,77.59722222,,,,,,,,,,,,,,,,,,,,,,,No
139832,India,28,Andhra Pradesh,511,Kurnool,2017,Gonegondla,15.71666667,77.6,,,,,,,,,,,,,,,,,,,,,,,No
139833,India,28,Andhra Pradesh,511,Kurnool,2017,G Ragadi Gudur-dw14,15.725,78.46666667,,,138,319,1969,0.46,,329,80,5.03,14,235,,,-3.82,5.35,225,,365,269.67,,7.3,No
139834,India,28,Andhra Pradesh,511,Kurnool,2017,Gudur-PZ -WT,15.7725,77.80888889,,,,,,,,,,,,,,,,,,,,,,,No
139835,India,28,Andhra Pradesh,511,Kurnool,2017,Gulyam,15.37194444,77.065,,,,,,,,,,,,,,,,,,,,,,,No
139836,India,28,Andhra Pradesh,511,Kurnool,2017,Gulyam-DW13,15.36666667,77.14166667,,,,,,,,,,,,,,,,,,,,,,,No
139837,India,28,Andhra Pradesh,511,Kurnool,2017,Gulyam-PZ,15.37194444,77.065,,,28,482,3800,1.5,,512,3.9,36.5,234,800,,,7.98,23.46,607,,220,419.67,,7.67,No
139838,India,28,Andhra Pradesh,511,Kurnool,2017,Halvi pn1-wt,15.88055556,77.14333333,,,,,,,,,,,,,,,,,,,,,,,No
139839,India,28,Andhra Pradesh,511,Kurnool,2017,Halvi pni-p1,15.88055556,77.14333333,,,,,,,,,,,,,,,,,,,,,,,No
