ROWID,Country,State LGD Code,State,District LGD Code,District,Year,Ground Water Station Name,Ground Water Station Latitude,Ground Water Station Longitude,Amount of Arsenic,Amount of carbonate,Amount of Calcium,Amount of Chloride,Amount of Electrical Conductivity,Amount of Fluorine,Amount of Iron,Amount of Hydrogencarbonate,Amount of Potassium,Amount of Magnesium,Amount of Nitrate,Amount of Sodium,Percentage of Sodium,Amount of Phosphate Ion,Amount of Residual Sodium Carbonate,Amount of Sodium absorption ratio,Amount of Sulfate,Amount of Silicon dioxide,Amount of Hardness Total,Amount of Alkalinity Total,Amount of Total Dissolved Solids,Amount of Potential of Hydrogen,Mark for Deletion
134914,India,28,Andhra Pradesh,502,Anantapur,2011,Rayadurg-new,14.7,76.85,,,58,156,1260,0.39,,226,15,17.09,180,179,,,,5.31,72,,215,185.3,,8,No
134915,India,28,Andhra Pradesh,502,Anantapur,2011,Rayalacheruvu,15.05138889,77.81944444,,,,,,,,,,,,,,,,,,,,,,,No
134916,India,28,Andhra Pradesh,502,Anantapur,2011,Reddipalli,14.21666667,78,,,56,50,734,2.4,,262,1,24.38,69,71,,,,1.99,53,,240,214.8,,7.8,No
134917,India,28,Andhra Pradesh,502,Anantapur,2011,Rolla,13.85,77.1,,,30,71,569,0.37,,183,4,20.7,20,58,,,,1.99,24,,160,150,,7.79,No
134918,India,28,Andhra Pradesh,502,Anantapur,2011,Talapula-PZ,14.24305556,78.2625,,,,,,,,,,,,,,,,,,,,,,,No
134919,India,28,Andhra Pradesh,502,Anantapur,2011,Tanakal,13.92083333,78.19722222,,,,,,,,,,,,,,,,,,,,,,,No
134920,India,28,Andhra Pradesh,502,Anantapur,2011,Tanakal1,13.92083333,78.1875,,,,,,,,,,,,,,,,,,,,,,,No
134921,India,28,Andhra Pradesh,502,Anantapur,2011,Tanakal (alt),13.92083333,78.1875,,,,,,,,,,,,,,,,,,,,,,,No
134922,India,28,Andhra Pradesh,502,Anantapur,2011,Tangdikunta-DW13,14.00833333,78.025,,,,,,,,,,,,,,,,,,,,,,,No
134923,India,28,Andhra Pradesh,502,Anantapur,2011,Uravakonda-DW14,14.96666667,77.25416667,,,,,,,,,,,,,,,,,,,,,,,No
134984,India,28,Andhra Pradesh,502,Anantapur,2012,Rayadurg-new,14.7,76.85,,,,,,,,,,,,,,,,,,,,,,,No
134924,India,28,Andhra Pradesh,502,Anantapur,2011,Vajrakarur,15.00833333,77.41666667,,,100,103,1460,0.87,,177,2,47.53,130,138,,,,2.85,336,,445,145.1,,7.72,No
134925,India,28,Andhra Pradesh,502,Anantapur,2011,Waddipalli,14.67166667,77.45833333,,,28,333,2289,1.8,,433,4,36.5,120,446,,,5.4,13.08,252,,220,354.9,,7.9,No
134926,India,28,Andhra Pradesh,502,Anantapur,2011,Wadiyampeta,14.75277778,77.60277778,,,,,,,,,,,,,,,,,,,,,,,No
134927,India,28,Andhra Pradesh,502,Anantapur,2012,Adivi Brahmanapalli,14.35333333,78.0375,,,,21,1005,2.9,,,,,42,,,,0,,,,,,,8.45,No
134928,India,28,Andhra Pradesh,502,Anantapur,2012,Alampur,14.19166667,78.16388889,,,,32,620,3.7,,,,,1,,,,0,,,,,,,8.1,No
134929,India,28,Andhra Pradesh,502,Anantapur,2012,Amidala,14.84166667,77.25,,,,209,1993,0.26,,,,,366,,,,0,,,,,,,7.24,No
134930,India,28,Andhra Pradesh,502,Anantapur,2012,Anantapur-alt-1,14.675,77.60833333,,,,,,,,,,,,,,,,,,,,,,,No
134931,India,28,Andhra Pradesh,502,Anantapur,2012,Batrepally 2013DW,14.25083333,78.18027778,,,,,,,,,,,,,,,,,,,,,,,No
134932,India,28,Andhra Pradesh,502,Anantapur,2012,Bontula Dinne,14.84166667,78.09333333,,,,,,,,,,,,,,,,,,,,,,,No
134933,India,28,Andhra Pradesh,502,Anantapur,2012,Bontula Dinne1,14.84166667,78.09333333,,,,,,,,,,,,,,,,,,,,,,,No
134934,India,28,Andhra Pradesh,502,Anantapur,2012,Budipalli,13.96666667,77.16666667,,,,21,563,1.8,,,,,60,,,,0,,,,,,,7.6,No
134935,India,28,Andhra Pradesh,502,Anantapur,2012,Chilkamattur,13.85,77.73333333,,,,,,,,,,,,,,,,,,,,,,,No
134936,India,28,Andhra Pradesh,502,Anantapur,2012,Chilkamattur1,13.85,77.73333333,,,,,,,,,,,,,,,,,,,,,,,No
134937,India,28,Andhra Pradesh,502,Anantapur,2012,D.cheruvu,14.07916667,78.35555556,,,,,,,,,,,,,,,,,,,,,,,No
134938,India,28,Andhra Pradesh,502,Anantapur,2012,Dharmavaram,14.41166667,77.72,,,,145,1283,1.1,,,,,40,,,,0,,,,,,,7.33,No
134939,India,28,Andhra Pradesh,502,Anantapur,2012,Gooty-alt,15.11666667,77.64305556,,,,298,2060,0.17,,,,,34,,,,0,,,,,,,8.1,No
134940,India,28,Andhra Pradesh,502,Anantapur,2012,Gorantla,13.98333333,77.76666667,,,,71,674,1.2,,,,,8,,,,0,,,,,,,7.61,No
134941,India,28,Andhra Pradesh,502,Anantapur,2012,Govinavaripalli,13.975,77.87777778,,,,96,990,2.1,,,,,64,,,,0,,,,,,,8.01,No
134942,India,28,Andhra Pradesh,502,Anantapur,2012,Gundlapally,14.70444444,77.05638889,,,,,,,,,,,,,,,,,,,,,,,No
134943,India,28,Andhra Pradesh,502,Anantapur,2012,Guntakal,15.16805556,77.37638889,,,,,,,,,,,,,,,,,,,,,,,No
134944,India,28,Andhra Pradesh,502,Anantapur,2012,Guntakal1,15.16805556,77.37638889,,,,,,,,,,,,,,,,,,,,,,,No
134945,India,28,Andhra Pradesh,502,Anantapur,2012,Guntakal2,15.16805556,77.37638889,,,,298,2492,0.38,,,,,360,,,,0,,,,,,,7.48,No
134946,India,28,Andhra Pradesh,502,Anantapur,2012,Ingaluru,14.04722222,78.03888889,,,,71,991,1.8,,,,,62,,,,0,,,,,,,7.8,No
134947,India,28,Andhra Pradesh,502,Anantapur,2012,Kadiri - Pz,0,0,,,,,,,,,,,,,,,,,,,,,,,No
134948,India,28,Andhra Pradesh,502,Anantapur,2012,Kalyandurg,14.54666667,77.11,,,,,,,,,,,,,,,,,,,,,,,No
134949,India,28,Andhra Pradesh,502,Anantapur,2012,Kalyandurg-alt,14.54666667,77.11,,,,71,1313,4.5,,,,,1,,,,0,,,,,,,8.36,No
134950,India,28,Andhra Pradesh,502,Anantapur,2012,Kambalaparthi,0,0,,,,,,,,,,,,,,,,,,,,,,,No
134951,India,28,Andhra Pradesh,502,Anantapur,2012,Kambalaparthi-Dw14,0,0,,,,,,,,,,,,,,,,,,,,,,,No
134952,India,28,Andhra Pradesh,502,Anantapur,2012,Kanchisamudram-DW13,13.8,77.60833333,,,,,,,,,,,,,,,,,,,,,,,No
134953,India,28,Andhra Pradesh,502,Anantapur,2012,Kanekallu,14.8,77.08333333,,,,,,,,,,,,,,,,,,,,,,,No
134954,India,28,Andhra Pradesh,502,Anantapur,2012,Kochcheruvu,0,0,,,,,,,,,,,,,,,,,,,,,,,No
134955,India,28,Andhra Pradesh,502,Anantapur,2012,Korrapadu,14.75333333,77.71333333,,,,482,2497,1.3,,,,,50,,,,0,,,,,,,7.41,No
134956,India,28,Andhra Pradesh,502,Anantapur,2012,Kothapalem,13.88333333,77.13333333,,,,67,789,1.5,,,,,120,,,,0,,,,,,,8.21,No
134957,India,28,Andhra Pradesh,502,Anantapur,2012,Kothulagutta,0,0,,,,,,,,,,,,,,,,,,,,,,,No
134958,India,28,Andhra Pradesh,502,Anantapur,2012,Kottacheruvu,14.18666667,77.76666667,,,,,,,,,,,,,,,,,,,,,,,No
134959,India,28,Andhra Pradesh,502,Anantapur,2012,Kundurpi-DW14,14.3,77.05,,,,,,,,,,,,,,,,,,,,,,,No
134960,India,28,Andhra Pradesh,502,Anantapur,2012,Kuntimaddi,14.31666667,77.56666667,,,,,,,,,,,,,,,,,,,,,,,No
134961,India,28,Andhra Pradesh,502,Anantapur,2012,Madakasira,13.95833333,77.23333333,,,,,,,,,,,,,,,,,,,,,,,No
134962,India,28,Andhra Pradesh,502,Anantapur,2012,Madakasira1,13.95833333,77.24166667,,,,206,1662,0.38,,,,,110,,,,0,,,,,,,7.7,No
134963,India,28,Andhra Pradesh,502,Anantapur,2012,Malakavemula-rs,14.27,78.0575,,,,227,1761,1.04,,,,,166,,,,0,,,,,,,7.51,No
134964,India,28,Andhra Pradesh,502,Anantapur,2012,Mamillakunta,14.16666667,77.75833333,,,,181,1502,0.8,,,,,234,,,,0,,,,,,,7.51,No
134965,India,28,Andhra Pradesh,502,Anantapur,2012,Mudigubba,14.35138889,78,,,,,,,,,,,,,,,,,,,,,,,No
134966,India,28,Andhra Pradesh,502,Anantapur,2012,Muthyalacherevu Poolabhavi-DW14,14.1,78.1,,,,,,,,,,,,,,,,,,,,,,,No
134967,India,28,Andhra Pradesh,502,Anantapur,2012,Nallacheruvu,13.98611111,78.18888889,,,,,,,,,,,,,,,,,,,,,,,No
134968,India,28,Andhra Pradesh,502,Anantapur,2012,Nallacheruvu 2013DW,13.98722222,78.18777778,,,,,,,,,,,,,,,,,,,,,,,No
134969,India,28,Andhra Pradesh,502,Anantapur,2012,Narpala,14.71,77.81166667,,,,,,,,,,,,,,,,,,,,,,,No
134970,India,28,Andhra Pradesh,502,Anantapur,2012,Narpala (sultanpet).,14.70583333,77.82222222,,,,,,,,,,,,,,,,,,,,,,,No
134971,India,28,Andhra Pradesh,502,Anantapur,2012,Narpala(sultanpet).1,14.70583333,77.82222222,,,,181,1675,1.4,,,,,138,,,,0,,,,,,,7.48,No
134972,India,28,Andhra Pradesh,502,Anantapur,2012,Nilakanthapuram,13.91666667,77.2,,,,262,1508,0.92,,,,,92,,,,0,,,,,,,7.65,No
134973,India,28,Andhra Pradesh,502,Anantapur,2012,Nimbigallu,14.89166667,77.20833333,,,,,,,,,,,,,,,,,,,,,,,No
134974,India,28,Andhra Pradesh,502,Anantapur,2012,N.R.Roppam-Ow-Ii-Aq-Ii,0,0,,,,,,,,,,,,,,,,,,,,,,,No
134975,India,28,Andhra Pradesh,502,Anantapur,2012,Palaram 2013DW,13.95666667,77.10833333,,,,,,,,,,,,,,,,,,,,,,,No
134976,India,28,Andhra Pradesh,502,Anantapur,2012,Palasamudram,13.97277778,77.73138889,,,,227,1463,1.2,,,,,,,,,0,,,,,,,7.43,No
134977,India,28,Andhra Pradesh,502,Anantapur,2012,Pargi,13.89166667,77.46166667,,,,,,,,,,,,,,,,,,,,,,,No
134978,India,28,Andhra Pradesh,502,Anantapur,2012,Patakothacheruv,15.15833333,77.51166667,,,,,,,,,,,,,,,,,,,,,,,No
134979,India,28,Andhra Pradesh,502,Anantapur,2012,Pedapalli 2013DW,14.06388889,77.77444444,,,,,,,,,,,,,,,,,,,,,,,No
134980,India,28,Andhra Pradesh,502,Anantapur,2012,Penukonda,14.07222222,77.58166667,,,,160,1758,1.2,,,,,84,,,,0,,,,,,,8.03,No
134981,India,28,Andhra Pradesh,502,Anantapur,2012,Penukonda-Pz,0,0,,,,,,,,,,,,,,,,,,,,,,,No
134982,India,28,Andhra Pradesh,502,Anantapur,2012,Poolakunta 2013DW,14.62666667,77.69916667,,,,,,,,,,,,,,,,,,,,,,,No
134983,India,28,Andhra Pradesh,502,Anantapur,2012,Puttaparti-alt,14.16861111,77.81166667,,,,,,,,,,,,,,,,,,,,,,,No
134985,India,28,Andhra Pradesh,502,Anantapur,2012,Rayalacheruvu,15.05138889,77.81944444,,,,,,,,,,,,,,,,,,,,,,,No
134986,India,28,Andhra Pradesh,502,Anantapur,2012,Reddipalli,14.21666667,78,,,,440,2942,2.3,,,,,290,,,,0,,,,,,,7.49,No
134987,India,28,Andhra Pradesh,502,Anantapur,2012,Rolla,13.85,77.1,,,,60,740,0.78,,,,,4,,,,0,,,,,,,7.54,No
134988,India,28,Andhra Pradesh,502,Anantapur,2012,Talapula-PZ,14.24305556,78.2625,,,,,,,,,,,,,,,,,,,,,,,No
134989,India,28,Andhra Pradesh,502,Anantapur,2012,Tanakal,13.92083333,78.19722222,,,,,,,,,,,,,,,,,,,,,,,No
