ROWID,Country,StateLGDCode,State,DistrictLGDCode,District,Year,OBJECTID *,OBJECTID *,Ground Water Station Name,y,x,Amount of Arsenic,Amount of carbonate,Amount of Calcium,Amount of Chloride,Amount of Electrical Conductivity,Amount of Fluorine,Amount of Iron,Amount of Hydrogencarbonate,Amount of Potassium,Amount of Magnesium,Amount of Nitrate,Amount of Sodium,Percentage of Sodium,Amount of Phosphate Ion,Amount of Residual Sodium Carbonate,Amount of Sodium absorption ratio,Amount of Sulfate,Amount of Silicon dioxide,Amount of Hardness Total,Amount of Alkalinity Total,Amount of Total Dissolved Solids,Amount of Potential of Hydrogen,Mark for Deletion
135112,India,28,Andhra Pradesh,502,Anantapur,2014,942,1152,Nilakanthapuram,13.916667,77.2, , ,24,277,1300,1.68, ,201,5,38.93,6,195, , ,-2.22,5.72,86, ,220,164.75, ,7.94,No
135116,India,28,Andhra Pradesh,502,Anantapur,2014,945,1156,Palasamudram,13.972778,77.731389, , ,88,291,2110,0.38, ,488,200,34.15,155,202, , ,1.6,4.63,115, ,360,400, ,7.98,No
135119,India,28,Andhra Pradesh,502,Anantapur,2014,948,1159,Pedapalli 2013DW,14.063889,77.774444, , ,136,475,4130,0.05, ,769,650,68.24,590,283, , ,0.4,4.94,277, ,620,630.33, ,8.02,No
135120,India,28,Andhra Pradesh,502,Anantapur,2014,949,1160,Penukonda,14.072222,77.581667, ,120,16,340,2330,0.91, ,98,11,72.96,169,373, , ,-2.38,8.8,256, ,340,280.33, ,8.57,No
135122,India,28,Andhra Pradesh,502,Anantapur,2014,950,1162,Poolakunta 2013DW,14.626667,77.699167, ,  ,54,106,1040,1.9, ,354,4,28.03,18,122, , ,1.6,3.36,62, ,250,290.16, ,7.92,No
135124,India,28,Andhra Pradesh,502,Anantapur,2014,952,1164,Rayadurg-new,14.7,76.85, , ,80,152,1160,0.33, ,262,8,19.55,134,133, , ,-2.62,3.46,40, ,280,214.75,  ,8.09,No
135126,India,28,Andhra Pradesh,502,Anantapur,2014,954,1166,Reddipalli,14.216667,78, ,  ,32,539,5370,0.42, ,927,600,31.65,393,786, ,  ,21.98,23.59,811, ,210,759.84, ,8.19,No
135127,India,28,Andhra Pradesh,502,Anantapur,2014,955,1167,Rolla,13.85,77.1, , ,48,113,1030,0.72, ,397,4,45.04,31,94, , ,0.82,2.34,5, ,305,325.41,  ,7.59,No
135134,India,28,Andhra Pradesh,502,Anantapur,2014,962,1174,Vajrakarur,15.008333,77.416667, , ,124,113,1770,0.76, ,244,4,59.72,104,149, , ,-14.2,2.75,422, ,555,200, ,7.47,No
135135,India,28,Andhra Pradesh,502,Anantapur,2014,963,1175,Waddipalli,14.671667,77.458333, , ,144,801,4500,0.89, ,610,67,194.68,445,462, , ,-26.4,5.9,250, ,1160,500, ,7.7,No
135137,India,28,Andhra Pradesh,502,Anantapur,2015,965,1177,Adivi Brahmanapalli,14.353333,78.0375, ,0,132,312,2620,2,0.04,683,4,114.43,296,231, , ,-9.62,3.55,68, ,800,559.84, ,7.46,No
135138,India,28,Andhra Pradesh,502,Anantapur,2015,966,1178,Alampur,14.191667,78.163889, ,0,72,145,1470,5.12,0.05,628,3,31.69,2,193, , ,8.18,4.77,13, ,310,514.75, ,7.68,No
135139,India,28,Andhra Pradesh,502,Anantapur,2015,967,1179,Amidala,14.841667,77.25, ,0,268,369,3060,0.19,0.04,634,220,17.35,353,233, , ,-8.82,3.73,197, ,740,519.67, ,7.31,No
135144,India,28,Andhra Pradesh,502,Anantapur,2015,972,1184,Budipalli,13.966667,77.166667, ,0,82,181,1510,1.85,0.34,586,120,39,19,109, , ,4.6,2.48,5, ,365,480.33, ,7.18,No
135148,India,28,Andhra Pradesh,502,Anantapur,2015,976,1188,Dharmavaram,14.411667,77.72, ,0,192,333,2320,0.85,0.05,525,6,44,194,225, , ,-9.2,3.81,99, ,660,430.33, ,7.27,No
135149,India,28,Andhra Pradesh,502,Anantapur,2015,977,1189,Gooty-alt,15.116667,77.643056, ,0,104,234,1850,0.05,0.04,708,130,51.18,17,132, , ,4.4,2.65,1, ,470,580.33, ,7.41,No
135155,India,28,Andhra Pradesh,502,Anantapur,2015,983,1195,Guntakal2,15.168056,77.376389, ,0,120,319,2730,0.36,0.06,610,260,82.81,226,180, , ,-5.6,3.1,222, ,640,500, ,7.55,No
135156,India,28,Andhra Pradesh,502,Anantapur,2015,984,1196,Ingaluru,14.047222,78.038889, ,0,92,291,2470,0.44,0.04,805,280,56.03,46,191, , ,7.98,3.87,123, ,460,659.84, ,7.49,No
135159,India,28,Andhra Pradesh,502,Anantapur,2015,986,1199,Kalyandurg-alt,14.546667,77.11, ,0,32,131,1610,4.54,0.09,720,8,29.21,7,272,   , ,15.6,8.37,23, ,200,590.16,  ,7.68,No
135162,India,28,Andhra Pradesh,502,Anantapur,2015,987,1202,Kanchisamudram-DW13,13.8,77.608333, ,0,112,411,3780,0.05,0.04,830,600,65.78,449,263, , ,5.2,4.88,256, ,550,680.33, ,7.49,No
135165,India,28,Andhra Pradesh,502,Anantapur,2015,989,1205,Korrapadu,14.753333,77.713333, ,0,86,128,1560,0.9, ,702,97,42.65,25,122, ,  ,7.42,2.69,5, ,390,575.41,  ,7.63,No
135166,India,28,Andhra Pradesh,502,Anantapur,2015,990,1206,Kothapalem,13.883333,77.133333, ,0,88,124,1140,0.82,0.04,336,59,29.28,101,71, , ,-2.58,1.68,37, ,340,275.41, ,7.33,No
135169,India,28,Andhra Pradesh,502,Anantapur,2015,992,1209,Kundurpi-DW14,14.3,77.05, ,0,132,390,3180,1.06, ,854,400,56.08,236,238, , ,5.6,4.37,143, ,560,700, ,7.83,No
135172,India,28,Andhra Pradesh,502,Anantapur,2015,995,1212,Madakasira1,13.958333,77.241667, ,0,100,259,1820,0.57,0.09,500,44,29.3,101,222, , ,1.58,5.02,51, ,370,409.84,  ,7.25,No
135173,India,28,Andhra Pradesh,502,Anantapur,2015,996,1213,Malakavemula-rs,14.27,78.0575, ,0,108,269,2080,1.71,0.04,439,1,119.27,251,128, , ,-16.02,2.02,94, ,760,359.84, ,7.53,No
135176,India,28,Andhra Pradesh,502,Anantapur,2015,999,1216,Muthyalacherevu Poolabhavi-DW14,14.1,78.1, ,0,16,14,180,0.2, ,79,5,5.61,7,10, ,  ,0.06,0.55,9, ,63,64.75, ,6.87,No
135181,India,28,Andhra Pradesh,502,Anantapur,2015,1004,1221,Narpala(sultanpet).1,14.705833,77.822222, ,0,98,188,1540,2.23,0.09,610,20,68.2,6,101, , ,-1,1.92,0, ,525,500, ,7.55,No
